antecedents,consequents,support,confidence,lift,leverage,conviction
"Depth_Crust, DAVAO OCCIDENTAL, Time_Afternoon",Magnitude_Moderate,0.00012689090101603357,0.022012578616352203,6.0565331953136035,0.00010593982274666675,1.018791714764409
"DAVAO OCCIDENTAL, Time_Afternoon","Magnitude_Moderate, Depth_Crust",0.00012689090101603357,0.010638297872340425,5.988438992618324,0.00010570158921500392,1.0089571137017517
"DAVAO OCCIDENTAL, Time_Afternoon",Magnitude_Moderate,0.00021752725888462898,0.0182370820668693,5.017744392817349,0.00017417565667946118,1.0148738191773232
DAVAO OCCIDENTAL,Magnitude_Strong,0.00015408180837661218,0.002352941176470588,4.807450980392157,0.00012203118341859269,1.0018678999025745
"DAVAO OCCIDENTAL, Depth_Crust","Time_Night, Magnitude_Moderate",0.00014501817258975264,0.004696213677722336,4.505547402406809,0.00011283159021969796,1.0036711360013357
"DAVAO OCCIDENTAL, Depth_Crust","Magnitude_Moderate, Time_Afternoon",0.00012689090101603357,0.004109186968007044,4.401657353079468,9.806291854546286e-05,1.0031887355927025
DAVAO OCCIDENTAL,"Time_Night, Magnitude_Moderate, Depth_Crust",0.00014501817258975264,0.0022145328719723185,4.286519759606629,0.0001111869573562876,1.0017016740452318
DAVAO OCCIDENTAL,"Time_Night, Magnitude_Moderate",0.0002900363451795053,0.004429065743944637,4.249245674740485,0.00022178038462076005,1.003401814488474
DAVAO OCCIDENTAL,"Depth_Crust, Magnitude_Moderate, Time_Afternoon",0.00012689090101603357,0.0019377162629757787,4.19196417667413,9.66208663334596e-05,1.0014783354324555
"DAVAO OCCIDENTAL, Time_Morning",Magnitude_Moderate,0.00017220907995033129,0.014604150653343582,4.01818091205499,0.00012935160694962968,1.011132209162527
"Time_Night, DAVAO OCCIDENTAL, Depth_Crust",Magnitude_Moderate,0.00014501817258975264,0.013937282229965157,3.834698966868543,0.00010720081747460627,1.0104483863893912
